ds,yhat
2024-01-08,1350351.1542951728
2024-01-09,1350287.3940151378
2024-01-10,1350223.563144335
2024-01-11,1350159.6616827645
2024-01-12,1350095.6896304262
2024-01-13,1350031.6469873202
2024-01-14,1349967.5337534465
2024-01-15,1349903.349928805
2024-01-16,1349839.0955133957
2024-01-17,1349774.7705072185
2024-01-18,1349710.3749102738
2024-01-19,1349645.9087225613
2024-01-20,1349581.371944081
2024-01-21,1349516.764574833
2024-01-22,1349452.0866148171
2024-01-23,1349387.3380640335
2024-01-24,1349322.5189224822
2024-01-25,1349257.629190163
2024-01-26,1349192.668867076
2024-01-27,1349127.6379532216
2024-01-28,1349062.536448599
2024-01-29,1348997.364353209
2024-01-30,1348932.121667051
2024-01-31,1348866.8083901254
2024-02-01,1348801.424522432
2024-02-02,1348735.970063971
2024-02-03,1348670.445014742
2024-02-04,1348604.8493747453
2024-02-05,1348539.1831439808
2024-02-06,1348473.4463224486
2024-02-07,1348407.6389101485
2024-02-08,1348341.7609070807
2024-02-09,1348275.8123132454
2024-02-10,1348209.793128642
2024-02-11,1348143.7033532711
2024-02-12,1348077.5429871322
2024-02-13,1348011.3120302258
2024-02-14,1347945.0104825515
2024-02-15,1347878.6383441095
2024-02-16,1347812.1956148997
2024-02-17,1347745.682294922
2024-02-18,1347679.0983841768
2024-02-19,1347612.4438826637
2024-02-20,1347545.7187903828
2024-02-21,1347478.9231073342
2024-02-22,1347412.056833518
2024-02-23,1347345.1199689338
2024-02-24,1347278.112513582
2024-02-25,1347211.0344674622
2024-02-26,1347143.885830575
2024-02-27,1347076.6666029198
2024-02-28,1347009.3767844967
2024-02-29,1346942.016375306
2024-03-01,1346874.5853753476
2024-03-02,1346807.0837846214
2024-03-03,1346739.5116031277
2024-03-04,1346671.868830866
2024-03-05,1346604.1554678364
2024-03-06,1346536.371514039
2024-03-07,1346468.5169694743
2024-03-08,1346400.5918341414
2024-03-09,1346332.596108041
2024-03-10,1346264.5297911728
2024-03-11,1346196.3928835366
2024-03-12,1346128.185385133
2024-03-13,1346059.9072959614
2024-03-14,1345991.558616022
2024-03-15,1345923.139345315
2024-03-16,1345854.6494838402
2024-03-17,1345786.0890315976
2024-03-18,1345717.4579885874
2024-03-19,1345648.7563548093
2024-03-20,1345579.9841302636
2024-03-21,1345511.1413149498
2024-03-22,1345442.2279088686
2024-03-23,1345373.2439120193
2024-03-24,1345304.1893244025
2024-03-25,1345235.064146018
2024-03-26,1345165.8683768655
2024-03-27,1345096.6020169454
2024-03-28,1345027.2650662574
2024-03-29,1344957.8575248017
2024-03-30,1344888.3793925783
2024-03-31,1344818.830669587
2024-04-01,1344749.2113558282
2024-04-02,1344679.5214513014
2024-04-03,1344609.760956007
2024-04-04,1344539.9298699447
2024-04-05,1344470.0281931148
2024-04-06,1344400.055925517
2024-04-07,1344330.0130671517
2024-04-08,1344259.8996180182
2024-04-09,1344189.7155781172
2024-04-10,1344119.4609474484
2024-04-11,1344049.135726012
2024-04-12,1343978.7399138077
2024-04-13,1343908.2735108356
2024-04-14,1343837.7365170957
2024-04-15,1343767.1289325883
2024-04-16,1343696.4507573128
2024-04-17,1343625.7019912698
2024-04-18,1343554.882634459
2024-04-19,1343483.9926868803
2024-04-20,1343413.032148534
2024-04-21,1343342.0010194199
2024-04-22,1343270.899299538
2024-04-23,1343199.7269888883
2024-04-24,1343128.484087471
2024-04-25,1343057.1705952857
2024-04-26,1342985.786512333
2024-04-27,1342914.3318386122
2024-04-28,1342842.8065741237
2024-04-29,1342771.2107188676
2024-04-30,1342699.5442728435
2024-05-01,1342627.807236052
2024-05-02,1342555.9996084925
2024-05-03,1342484.1213901653
2024-05-04,1342412.1725810703
2024-05-05,1342340.1531812076
2024-05-06,1342268.0631905769
2024-05-07,1342195.9026091788
2024-05-08,1342123.6714370127
2024-05-09,1342051.369674079
2024-05-10,1341978.9973203773
2024-05-11,1341906.554375908
2024-05-12,1341834.040840671
2024-05-13,1341761.4567146662
2024-05-14,1341688.8019978937
2024-05-15,1341616.0766903532
2024-05-16,1341543.2807920452
2024-05-17,1341470.4143029694
2024-05-18,1341397.4772231258
2024-05-19,1341324.4695525144
2024-05-20,1341251.3912911352
2024-05-21,1341178.2424389883
2024-05-22,1341105.0229960736
2024-05-23,1341031.7329623913
2024-05-24,1340958.372337941
2024-05-25,1340884.9411227233
2024-05-26,1340811.4393167375
2024-05-27,1340737.866919984
2024-05-28,1340664.223932463
2024-05-29,1340590.5103541738
2024-05-30,1340516.7261851171
2024-05-31,1340442.8714252927
2024-06-01,1340368.9460747004
2024-06-02,1340294.9501333404
2024-06-03,1340220.8836012129
2024-06-04,1340146.7464783173
2024-06-05,1340072.538764654
2024-06-06,1339998.260460223
2024-06-07,1339923.9115650242
2024-06-08,1339849.4920790577
2024-06-09,1339775.0020023233
